Beggar	AgeClass	DOB	Sex	Mother	Species_Item_Simple	ProcessingSteps_Complexity	PopFreq_Rarity	NrFEventsMother	NrBeggingEvents	BeggingRate	NrSuccess	SuccessRate	FollowHours	BeggingFreq
Cinnamon	5.5	01/04/2012	female	Cissy	AAB_FR	1	0.001498066	186	2	0.010753	0	0.00	373.9	0.00534879
Frankie	1	01/08/2012	male	Friska	ADDG_LV	0	0.000341396	3	2	0.666667	2	1.00	1036.8	0.00192901
Lois	3	01/07/2010	male	Lisa	AJK_VE	4	0.000244582	46	1	0.021739	0	0.00	1289.9	0.00077525
Frankie	2	01/08/2012	male	Friska	AKAR_LV	0	0.002338818	13	1	0.076923	0	0.00	793.0	0.00126098
Eden	2.5	01/11/2014	female	Ellie	APKS_LV	0	0.00180889	21	1	0.047619	1	1.00	885.0	0.00112992
Frankie	1	01/08/2012	male	Friska	APKS_VE	1	0.003658543	18	1	0.055556	0	0.00	1036.8	0.00096451
Lois	6.5	01/07/2010	male	Lisa	APKS_VE	1	0.003658543	5	1	0.200000	1	1.00	874.4	0.00114362
Cinnamon	5.5	01/04/2012	female	Cissy	APLO_LV	0	0.002058567	39	1	0.025641	0	0.00	373.9	0.00267439
Frankie	6.5	01/08/2012	male	Friska	APLO_VE	1	0.000779606	7	2	0.285714	0	0.00	242.5	0.00824629
Eden	2.5	01/11/2014	female	Ellie	APLO_LV	0	0.002058567	19	1	0.052632	1	1.00	885.0	0.00112992
Frankie	1.5	01/08/2012	male	Friska	APSB_VE	1	0.001528639	36	1	0.027778	0	0.00	876.2	0.00114136
Lois	3	01/07/2010	male	Lisa	ASDK_VE	4	0.004244521	189	4	0.021164	1	0.25	1289.9	0.00310102
Lois	6.5	01/07/2010	male	Lisa	ASDK_VE	4	0.004244521	1	5	5.000000	4	0.80	874.4	0.00571810
Lois	8.5	01/07/2010	male	Lisa	ASDK_VE	4	0.004244521	72	1	0.013889	0	0.00	352.9	0.00283407
Lois	3	01/07/2010	male	Lisa	ASK_FR	3	0.000636933	8	1	0.125000	0	0.00	1289.9	0.00077525
Frankie	1	01/08/2012	male	Friska	ASK_LV	0	0.018797165	51	3	0.058824	3	1.00	1036.8	0.00289352
Cinnamon	1.5	01/04/2012	female	Cissy	ASK_LV	0	0.018797165	14	1	0.071429	1	1.00	788.7	0.00126786
Cinnamon	2.5	01/04/2012	female	Cissy	ASK_LV	0	0.018797165	10	1	0.100000	0	0.00	655.4	0.00152579
Eden	0.5	01/11/2014	female	Ellie	ASK_LV	0	0.018797165	76	3	0.039474	0	0.00	1067.0	0.00281175
Frankie	1	01/08/2012	male	Friska	ASK_VE	1	0.030791886	193	4	0.020725	2	0.50	1036.8	0.00385802
Fredy	8.5	01/01/2005	male	Friska	ASK_VE	1	0.030791886	144	1	0.006944	1	1.00	127.2	0.00786473
Simba	1	01/04/2013	male	Sarabi	ASK_VE	1	0.030791886	69	3	0.043478	2	0.67	164.1	0.01827782
Rendang	1	01/04/2013	male	Raffi	ASK_VE	1	0.030791886	24	1	0.041667	1	1.00	139.2	0.00718563
Lois	4	01/07/2010	male	Lisa	ASK_VE	1	0.030791886	221	1	0.004525	1	1.00	1066.4	0.00093771
Frankie	4.5	01/08/2012	male	Friska	ASK_VE	1	0.030791886	32	1	0.031250	0	0.00	591.3	0.00169128
Cinnamon	5	01/04/2012	female	Cissy	ASK_VE	1	0.030791886	90	2	0.022222	1	0.50	566.7	0.00352931
Cinnamon	5.5	01/04/2012	female	Cissy	ASK_VE	1	0.030791886	317	1	0.003155	0	0.00	373.9	0.00267439
Eden	2.5	01/11/2014	female	Ellie	ASK_VE	1	0.030791886	25	3	0.120000	0	0.00	885.0	0.00338977
Eden	2.5	01/11/2014	female	Ellie	ASK_LV	0	0.018797165	73	1	0.013699	0	0.00	885.0	0.00112992
Frankie	1	01/08/2012	male	Friska	AT_VE	4	0.00225729	29	3	0.103448	1	0.33	1036.8	0.00289352
Cinnamon	6.5	01/04/2012	female	Cissy	BSG_BK	2	0.002262386	6	5	0.833333	2	0.40	219.2	0.02281542
Frankie	1.5	01/08/2012	male	Friska	BSG_FR	3	0.02116146	295	2	0.006780	0	0.00	876.2	0.00228271
Lois	4	01/07/2010	male	Lisa	CMG_FR	5	0.030628831	529	5	0.009452	0	0.00	1066.4	0.00468853
Eden	0.5	01/11/2014	female	Ellie	CMG_FR	5	0.030628831	55	1	0.018182	0	0.00	1067.0	0.00093725
Lois	6.5	01/07/2010	male	Lisa	CMG_FR	5	0.030628831	121	2	0.016529	1	0.50	874.4	0.00228724
Pepito	5.5	01/01/2013	male	Piniata	CMG_FR	5	0.030628831	49	2	0.040816	2	1.00	31.1	0.06437768
Lois	3	01/07/2010	male	Lisa	GLMB_LV	0	0.003526061	25	2	0.080000	1	0.50	1289.9	0.00155051
Frankie	5	01/08/2012	male	Friska	JAIR_FL	0	0.003250906	2	1	0.500000	0	0.00	499.1	0.00200361
Simba	1	01/04/2013	male	Sarabi	MDGB_FR	1	0.013574315	550	5	0.009091	2	0.40	164.1	0.03046304
Eden	3	01/11/2014	female	Ellie	MDGB_FR	1	0.013574315	201	1	0.004975	0	0.00	688.8	0.00145180
Cinnamon	5.5	01/04/2012	female	Cissy	MDGH_FR	3	0.002318436	116	5	0.043103	2	0.40	373.9	0.01337196
Frankie	1	01/08/2012	male	Friska	MLK_FR	2.35	0.246574575	832	15	0.018029	6	0.40	1036.8	0.01446759
Frankie	5	01/08/2012	male	Friska	MLK_FR	2.35	0.246574575	1638	3	0.001832	0	0.00	499.1	0.00601082
Simba	1	01/04/2013	male	Sarabi	MLK_FR	2.35	0.246574575	629	11	0.017488	8	0.73	164.1	0.06701868
Lois	3.5	01/07/2010	male	Lisa	MLK_FR	2.35	0.246574575	1824	1	0.000548	1	1.00	1206.5	0.00082882
Rendang	1	01/04/2013	male	Raffi	MLK_FR	2.35	0.246574575	213	2	0.009390	1	0.50	139.2	0.01437126
Cinnamon	2	01/04/2012	female	Cissy	MLK_FR	2.35	0.246574575	428	1	0.002336	0	0.00	768.7	0.00130093
