Beggar	AgeClass	Sex	Mother	Species_Item_Simple	ProcessingSteps_Complexity	PopFreq_Rarity	NrBeggingEvents	FollowHours	BeggingFreq	Site
Cinnamon	5.5	female	Cissy	AAB_FR	1	0.001498066	2	373.9	0.0090929	wild
Frankie	5.5	male	Friska	AAB_FR	1	0.001498066	1	381.8	0.0044530	wild
Frankie	1	male	Friska	ADDG_LV	0	0.000341396	2	1036.8	0.0032793	wild
Frankie	5.5	male	Friska	ADDG_LV	0	0.000341396	1	381.8	0.0044530	wild
Lois	3	male	Lisa	AJK_VE	4	0.000244582	1	1289.9	0.0013179	wild
Rendang	1	male	Raffi	AKAR_LV	0	0.002338818	1	139.2	0.0122156	wild
Frankie	2	male	Friska	AKAR_LV	0	0.002338818	1	793.0	0.0021437	wild
Dalia	2	female	Dodi	AKAR_LV	0	0.002338818	3	29.2	0.1746575	wild
Eden	3	female	Ellie	AKAR_LV	0	0.002338818	1	688.8	0.0024681	wild
Amor	3	male	Alice	AKAR_VE	4	0.000779606	1	58.6	0.0290268	wild
Frankie	1	male	Friska	AKAR_VE	4	0.000779606	1	1036.8	0.0016397	wild
Cinnamon	2.5	female	Cissy	AKAR_NA	0	0.000443305	1	655.4	0.0025938	wild
Frankie	5.5	male	Friska	AKAR_NA	0	0.000443305	1	381.8	0.0044530	wild
Fredy	9	male	Friska	AKAR_VE	4	0.000779606	1	104.2	0.0163174	wild
Frankie	5.5	male	Friska	AKAR_VE	4	0.000779606	1	381.8	0.0044530	wild
Lois	0.5	male	Lisa	AKAR_LV	0	0.002338818	1	1409.3	0.0012063	wild
Eden	0.5	female	Ellie	AKAR_LV	0	0.002338818	1	1067.0	0.0015933	wild
Lois	8	male	Lisa	AKKT_LV	1	0.000173246	1	501.4	0.0033908	wild
Lois	0.5	male	Lisa	APD_LV	0	0.000514642	3	1409.3	0.0036188	wild
Frankie	1.5	male	Friska	APKS_LV	0	0.00180889	1	876.2	0.0019403	wild
Eden	2.5	female	Ellie	APKS_LV	0	0.00180889	1	885.0	0.0019209	wild
Eden	3.5	female	Ellie	APKS_LV	0	0.00180889	2	518.7	0.0065548	wild
Lois	0.5	male	Lisa	APKS_VE	1	0.003658543	1	1409.3	0.0012063	wild
Frankie	1	male	Friska	APKS_VE	1	0.003658543	1	1036.8	0.0016397	wild
Lois	6.5	male	Lisa	APKS_VE	1	0.003658543	1	874.4	0.0019442	wild
Lois	0.5	male	Lisa	APKSB_LV	0	6.6241E-05	1	1409.3	0.0012063	wild
Frankie	1.5	male	Friska	APKSB_VE	1	1.01909E-05	1	876.2	0.0019403	wild
Lois	4	male	Lisa	APKSB_VE	1	1.01909E-05	1	1066.4	0.0015941	wild
Cinnamon	5.5	female	Cissy	APLO_LV	0	0.002058567	1	373.9	0.0045465	wild
Frankie	6.5	male	Friska	APLO_VE	1	0.000779606	2	242.5	0.0140187	wild
Eden	2.5	female	Ellie	APLO_LV	0	0.002058567	1	885.0	0.0019209	wild
Amor	3	male	Alice	APLS_FR	1	0.000397446	1	58.6	0.0290268	wild
Lois	0.5	male	Lisa	APSB_LV	0	0.001177052	1	1409.3	0.0012063	wild
Frankie	1.5	male	Friska	APSB_VE	1	0.001528639	1	876.2	0.0019403	wild
Lois	3	male	Lisa	ASDK_VE	4	0.004244521	4	1289.9	0.0052717	wild
Lois	6.5	male	Lisa	ASDK_VE	4	0.004244521	5	874.4	0.0097208	wild
Eden	3	female	Ellie	ASDK_VE	4	0.004244521	1	688.8	0.0024681	wild
Lois	8.5	male	Lisa	ASDK_VE	4	0.004244521	1	352.9	0.0048179	wild
Lois	3	male	Lisa	ASK_FR	3	0.000636933	1	1289.9	0.0013179	wild
Lois	0.5	male	Lisa	ASK_LV	0	0.018797165	1	1409.3	0.0012063	wild
Frankie	1	male	Friska	ASK_LV	0	0.018797165	3	1036.8	0.0049190	wild
Cinnamon	1.5	female	Cissy	ASK_LV	0	0.018797165	1	788.7	0.0021554	wild
Cinnamon	2.5	female	Cissy	ASK_LV	0	0.018797165	1	655.4	0.0025938	wild
Eden	0.5	female	Ellie	ASK_LV	0	0.018797165	3	1067.0	0.0047800	wild
Lois	0.5	male	Lisa	ASK_VE	1	0.030791886	3	1409.3	0.0036188	wild
Fredy	6	male	Friska	ASK_VE	1	0.030791886	1	334.8	0.0050784	wild
Frankie	1	male	Friska	ASK_VE	1	0.030791886	4	1036.8	0.0065586	wild
Fredy	8.5	male	Friska	ASK_VE	1	0.030791886	1	127.2	0.0133700	wild
Simba	1	male	Sarabi	ASK_VE	1	0.030791886	3	164.1	0.0310723	wild
Rendang	1	male	Raffi	ASK_VE	1	0.030791886	1	139.2	0.0122156	wild
Lois	4	male	Lisa	ASK_VE	1	0.030791886	1	1066.4	0.0015941	wild
Frankie	4.5	male	Friska	ASK_VE	1	0.030791886	1	591.3	0.0028752	wild
Lois	6.5	male	Lisa	ASK_VE	1	0.030791886	1	874.4	0.0019442	wild
Cinnamon	5	female	Cissy	ASK_VE	1	0.030791886	2	566.7	0.0059998	wild
Cinnamon	5.5	female	Cissy	ASK_VE	1	0.030791886	1	373.9	0.0045465	wild
Eden	2.5	female	Ellie	ASK_VE	1	0.030791886	3	885.0	0.0057626	wild
Pepito	4.5	male	Piniata	ASK_VE	1	0.030791886	2	48.2	0.0705882	wild
Eden	2.5	female	Ellie	ASK_LV	0	0.018797165	1	885.0	0.0019209	wild
Frankie	1	male	Friska	AT_VE	4	0.00225729	3	1036.8	0.0049190	wild
Frankie	5	male	Friska	ATB_VE	4	0.000193628	2	499.1	0.0068123	wild
Eden	2.5	female	Ellie	ATB_VE	4	0.000193628	2	885.0	0.0038417	wild
Pepito	4.5	male	Piniata	ATPS_VE	4	0.000188532	1	48.2	0.0352941	wild
Simba	0.5	male	Sarabi	BNGPR_FL	1	0.006720916	1	164.1	0.0103574	wild
Frankie	2	male	Friska	BNGPR_FR	2	0.000896802	1	793.0	0.0021437	wild
Frankie	1	male	Friska	BSG_BK	2	0.002262386	2	1036.8	0.0032793	wild
Cinnamon	6.5	female	Cissy	BSG_BK	2	0.002262386	5	219.2	0.0387862	wild
Frankie	1	male	Friska	BSG_FR	3	0.02116146	2	1036.8	0.0032793	wild
Frankie	1.5	male	Friska	BSG_FR	3	0.02116146	2	876.2	0.0038806	wild
Frankie	5	male	Friska	CATCH	3	1.01909E-05	1	499.1	0.0034061	wild
Cinnamon	6.5	female	Cissy	CATCH	3	1.01909E-05	1	219.2	0.0077572	wild
Lilly	13	female	Lisa	CMG_FR	5	0.030628831	3	367.4	0.0138806	wild
Lois	3.5	male	Lisa	CMG_FR	5	0.030628831	2	1206.5	0.0028180	wild
Rendang	1	male	Raffi	CMG_FR	5	0.030628831	8	139.2	0.0977246	wild
Lois	4	male	Lisa	CMG_FR	5	0.030628831	5	1066.4	0.0079705	wild
Eden	0.5	female	Ellie	CMG_FR	5	0.030628831	1	1067.0	0.0015933	wild
Lois	6.5	male	Lisa	CMG_FR	5	0.030628831	2	874.4	0.0038883	wild
Frankie	5.5	male	Friska	CMG_FR	5	0.030628831	45	381.8	0.2003842	wild
Pepito	5.5	male	Piniata	CMG_FR	5	0.030628831	2	31.1	0.1094421	wild
Rendang	1	male	Raffi	DEADWOOD	3	4.07637E-05	1	139.2	0.0122156	wild
Cinnamon	5	female	Cissy	DEADWOOD	3	4.07637E-05	2	566.7	0.0059998	wild
Cinnamon	5.5	female	Cissy	DEADWOOD	3	4.07637E-05	4	373.9	0.0181859	wild
Eden	3.5	female	Ellie	DEADWOOD	3	4.07637E-05	1	518.7	0.0032774	wild
Lois	0.5	male	Lisa	FISTFISHING	2	1.01909E-05	2	1409.3	0.0024125	wild
Frankie	2	male	Friska	GESBENG	3	3.56682E-05	7	793.0	0.0150057	wild
Lois	3	male	Lisa	GLMB_LV	0	0.003526061	2	1289.9	0.0026359	wild
Frankie	5	male	Friska	JAIR_FL	0	0.003250906	1	499.1	0.0034061	wild
Lois	3	male	Lisa	ADDG_VE	1	2.03819E-05	1	1289.9	0.0013179	wild
Lois	3	male	Lisa	KELINCI_VE	0	5.09546E-06	1	1289.9	0.0013179	wild
Eden	2.5	female	Ellie	KKCNG_FR	3	0.002456013	1	885.0	0.0019209	wild
Cinnamon	6.5	female	Cissy	KKCNG_FR	3	0.002456013	1	219.2	0.0077572	wild
Lois	3.5	male	Lisa	KULBT_FR	1	0.00967119	1	1206.5	0.0014090	wild
Frankie	4.5	male	Friska	MADU_IN	4	2.03819E-05	1	591.3	0.0028752	wild
Eden	2.5	female	Ellie	MADU_IN	4	2.03819E-05	2	885.0	0.0038417	wild
Cinnamon	5	female	Cissy	MADU_KERINGAT_IN	4	4.07637E-05	1	566.7	0.0029999	wild
Luther	3	male	Lilly	MADU_KERINGAT_IN	4	4.07637E-05	5	25.1	0.3390957	wild
Simba	1	male	Sarabi	MDGB_FR	1	0.013574315	5	164.1	0.0517872	wild
Eden	2.5	female	Ellie	MDGB_FR	1	0.013574315	2	885.0	0.0038417	wild
Eden	3	female	Ellie	MDGB_FR	1	0.013574315	1	688.8	0.0024681	wild
Simba	1	male	Sarabi	MDGBR_FR	1	0.000259869	2	164.1	0.0207149	wild
Eden	2.5	female	Ellie	MDGBR_FR	1	0.000259869	1	885.0	0.0019209	wild
Frankie	4.5	male	Friska	MDGH_FR	3	0.002318436	4	591.3	0.0115007	wild
Cinnamon	5.5	female	Cissy	MDGH_FR	3	0.002318436	5	373.9	0.0227323	wild
Eden	2.5	female	Ellie	MDGH_FR	3	0.002318436	2	885.0	0.0038417	wild
Frankie	4.5	male	Friska	MDGK_FR	4	0.002720978	3	591.3	0.0086255	wild
