Focal	Age	Mother	Sex	DOB	TimeWindowSTART	TimeWindowEnd	NrBeggingEvents	NrSuccess	SuccessRate	FollowHours	BeggingFreq	NrFEventsMom	BeggingRate
Ronaldo	1.5	Raffi	male	01/01/2006	01/01/2007	01/07/2007	49	27	0.55	139.6	0.35113	91	0.53846154
Ellie	8.5	Friska	female	01/03/1999	01/03/2007	01/09/2007	0	0		1976.7	0.00000	1047	0.00000000
Fredy	2.5	Friska	male	01/01/2005	01/01/2007	01/07/2007	7	4	0.57	772.1	0.00907	0	
Lilly	6.5	Lisa	female	01/01/2001	01/01/2007	01/07/2007	12	9	0.75	809.5	0.01482	0	
Diddy	1.5	Dodi	male	01/12/2005	01/12/2006	01/06/2007	0	0		59.1	0.00000	0	
Ellie	19	Friska	female	01/03/1999	01/09/2017	01/03/2018	0	0		736.6	0.00000	1720	0.00000000
Lilly	7	Lisa	female	01/01/2001	01/07/2007	01/01/2008	51	26	0.51	809.5	0.06300	4374	0.01165981
Ronaldo	2	Raffi	male	01/01/2006	01/07/2007	01/01/2008	35	14	0.40	127.8	0.27397	1092	0.03205128
Fredy	3	Friska	male	01/01/2005	01/07/2007	01/01/2008	86	57	0.66	772.1	0.11139	3827	0.02247191
Albin	1.5	Alice	male	01/06/2006	01/06/2007	01/12/2007	2	0	0.00	30.9	0.06466	0	
Ellie	9	Friska	female	01/03/1999	01/09/2007	01/03/2008	2	0	0.00	1953.4	0.00102	6403	0.00031235
Chindy	5	Cissy	female	01/01/2003	01/07/2007	01/01/2008	32	17	0.53	316.3	0.10117	0	
Chuck	1	Chick	male	01/01/2007	01/07/2007	01/01/2008	1	0	0.00	21.8	0.04580	0	
Fredy	3.5	Friska	male	01/01/2005	01/01/2008	01/07/2008	12	3	0.25	659.6	0.01819	5988	0.00200401
Chuck	1.5	Chick	male	01/01/2007	01/01/2008	01/07/2008	0	0		21.8	0.00000	0	
Ronaldo	2.5	Raffi	male	01/01/2006	01/01/2008	01/07/2008	0	0		49.9	0.00000	263	0.00000000
Chindy	6	Cissy	female	01/01/2003	01/07/2008	01/01/2009	2	2	1.00	251.2	0.00796	381	0.00524934
Lilly	8	Lisa	female	01/01/2001	01/07/2008	01/01/2009	0	0		619.4	0.00000	30	0.00000000
