Begger	AgeClass	Sex	Mother	FoodItem	Complexity	Rarity	NrBeggingEvents	BeggingRate	FollowHours	BeggingFrequency
Cinnamon	1.5	female	Cissy	ASK_LV	0	0.018797165	1	0.029412	10.5	0.16242038
Frankie	5.5	male	Friska	AAB_FR	1	0.001498066	1		15.5	0.11003236
Frankie	1	male	Friska	ADDG_LV	0	0.000341396	2	0.666667	148.9	0.02283412
Frankie	5.5	male	Friska	ADDG_LV	0	0.000341396	1		15.5	0.11003236
Lois	3	male	Lisa	AJK_VE	4	0.000244582	1	0.038462	72.7	0.02337305
Rendang	1	male	Raffi	AKAR_LV	0	0.002338818	1		67.6	0.02515289
Frankie	2	male	Friska	AKAR_LV	0	0.002338818	1		101.7	0.01672405
Dalia	2	female	Dodi	AKAR_LV	0	0.002338818	3		0.0	
Eden	3	female	Ellie	AKAR_LV	0	0.002338818	1		55.5	0.03061408
Amor	3	male	Alice	AKAR_VE	4	0.000779606	1		23.2	0.07327586
Frankie	1	male	Friska	AKAR_VE	4	0.000779606	1		148.9	0.01141706
Cinnamon	1.5	female	Cissy	UNK_LV	0	0.00115667	2	0.125000	10.5	0.32484076
Frankie	5.5	male	Friska	AKAR_NA	0	0.000443305	1		15.5	0.11003236
Fredy	9	male	Friska	AKAR_VE	4	0.000779606	1		0.0	
Frankie	5.5	male	Friska	AKAR_VE	4	0.000779606	1		15.5	0.11003236
Lois	0.5	male	Lisa	AKAR_LV	0	0.002338818	1		0.0	
Eden	0.5	female	Ellie	AKAR_LV	0	0.002338818	1		128.6	0.01321586
Lois	8	male	Lisa	AKKT_LV	1	0.000173246	1		95.3	0.01784465
Lois	0.5	male	Lisa	APD_LV	0	0.000514642	3	0.100000	0.0	
Frankie	1.5	male	Friska	APKS_LV	0	0.00180889	1	1.000000	51.4	0.03306321
Eden	2.5	female	Ellie	APKS_LV	0	0.00180889	1	1.000000	194.2	0.00875311
Eden	3.5	female	Ellie	APKS_LV	0	0.00180889	2		35.4	0.09595484
Lois	0.5	male	Lisa	APKS_VE	1	0.003658543	1		0.0	
Frankie	1	male	Friska	APKS_VE	1	0.003658543	1	0.250000	148.9	0.01141706
Lois	6.5	male	Lisa	APKS_VE	1	0.003658543	1		16.2	0.10483042
Lois	0.5	male	Lisa	APKSB_LV	0	6.6241E-05	1		0.0	
