ID	FN	Date	FollowHours	DOB	Begger.id	ExactAge	AgeClass	Sex	Mother	Target	Time	FoodItem	RelationtoB	Complexity	Success	Site
1	2013	01/07/2017	11.72	01/04/2012	Cinnamon	5.3	5.5	female	Cissy	Cissy	11:57	AAB_FR	mother	1	no	wild
2	2013	01/07/2017	11.72	01/04/2012	Cinnamon	5.3	5.5	female	Cissy	Cissy	11:58	AAB_FR	mother	1		wild
3	2294	12/03/2018	11.83	01/08/2012	Frankie	5.6	5.5	male	Friska	Friska	15:47	AAB_FR	mother	1	no	wild
4	1038	23/06/2013	12.13	01/08/2012	Frankie	0.9	1	male	Friska	Friska	09:04	ADDG_LV	mother	0	yes	wild
5	1038	23/06/2013	12.13	01/08/2012	Frankie	0.9	1	male	Friska	Friska	09:05	ADDG_LV	mother	0	yes	wild
6	2302	15/03/2018	10.55	01/08/2012	Frankie	5.6	5.5	male	Friska	Friska	15:27	ADDG_LV	mother	0	yes	wild
7	993	04/06/2013	10.75	01/07/2010	Lois	2.9	3	male	Lisa	Lisa	11:18	AJK_VE	mother	4		wild
8	1334	09/05/2014	11.47	01/04/2013	Rendang	1.1	1	male	Raffi	Raffi	16:47	AKAR_LV	mother	0	no	wild
9	1377	22/09/2014	10.77	01/08/2012	Frankie	2.1	2	male	Friska	Friska	16:32	AKAR_LV	mother	0		wild
10	1383	14/10/2014	11.03	01/10/2012	Dalia	2.0	2	female	Dodi	Dodi	10:03	AKAR_LV	mother	0	no	wild
11	1384	14/10/2014	11.03	01/10/2012	Dalia	2.0	2	female	Dodi	Dodi	10:01	AKAR_LV	mother	0	no	wild
12	1385	15/10/2014	7.10	01/10/2012	Dalia	2.0	2	female	Dodi	Dodi	12:43	AKAR_LV	mother	0	yes	wild
13	2103	03/09/2017	11.98	01/11/2014	Eden	2.8	3	female	Ellie	Ellie	13:53	AKAR_LV	mother	0		wild
14	2113	07/09/2017	10.90	01/09/2014	Amor	3.0	3	male	Alice	Alice	14:06	AKAR_VE	mother	4		wild
15	1076	21/08/2013	11.03	01/08/2012	Frankie	1.1	1	male	Friska	Friska	09:05	AKAR_VE	mother	4	yes	wild
16	1369	02/09/2014	12.20	01/04/2012	Cinnamon	2.4	2.5	female	Cissy	Cissy	14:48	AKAR_NA	mother			wild
17	2228	02/02/2018	11.27	01/08/2012	Frankie	5.5	5.5	male	Friska	Friska	13:21	AKAR_NA	mother		no	wild
18	1267	26/02/2014	11.40	01/01/2005	Fredy	9.2	9	male	Friska	Friska	14:52	AKAR_VE	mother	4	no	wild
19	2308	18/03/2018	10.62	01/08/2012	Frankie	5.6	5.5	male	Friska	Friska	14:37	AKAR_VE	mother	4	no	wild
20	735	08/02/2011	10.70	01/07/2010	Lois	0.6	0.5	male	Lisa	Lisa	12:14	AKAR_LV	mother	0		wild
21	1438	09/02/2015	11.33	01/11/2014	Eden	0.3	0.5	female	Ellie	Ellie	15:16	AKAR_LV	mother	0	no	wild
22	2388	03/06/2018	5.27	01/07/2010	Lois	7.9	8	male	Lisa	Lisa	10:40	AKKT_LV	mother	1	yes	wild
23	739	09/02/2011	11.00	01/07/2010	Lois	0.6	0.5	male	Lisa	Lisa	12:04	APD_LV	mother	0		wild
24	739	09/02/2011	11.00	01/07/2010	Lois	0.6	0.5	male	Lisa	Lisa	12:57	APD_LV	mother	0	no	wild
25	739	09/02/2011	11.00	01/07/2010	Lois	0.6	0.5	male	Lisa	Lisa	14:21	APD_LV	mother	0	yes	wild
26	1318	05/04/2014	12.70	01/08/2012	Frankie	1.7	1.5	male	Friska	Friska	13:44	APKS_LV	mother	0	yes	wild
27	1762	03/02/2017	11.92	01/11/2014	Eden	2.3	2.5	female	Ellie	Ellie	17:39	APKS_LV	mother	0	yes	wild
28	2364	20/05/2018	12.00	01/11/2014	Eden	3.6	3.5	female	Ellie	Ellie	12:41	APKS_LV	mother	0	yes	wild
29	2364	20/05/2018	12.00	01/11/2014	Eden	3.6	3.5	female	Ellie	Ellie	12:42	APKS_LV	mother	0	no	wild
30	826	13/02/2011	10.63	01/07/2010	Lois	0.6	0.5	male	Lisa	Lisa	08:12	APKS_VE	mother	1	no	wild
31	1026	18/06/2013	11.23	01/08/2012	Frankie	0.9	1	male	Friska	Friska	09:12	APKS_VE	mother	1	no	wild
32	1742	29/01/2017	11.47	01/07/2010	Lois	6.6	6.5	male	Lisa	Lisa	12:10	APKS_VE	mother	1	yes	wild
33	734	07/02/2011	1.63	01/07/2010	Lois	0.6	0.5	male	Lisa	Lisa	15:55	APKSB_LV	mother	0	no	wild
34	1272	04/03/2014	10.70	01/08/2012	Frankie	1.6	1.5	male	Friska	Friska	09:20	APKSB_VE	mother	1	no	wild
35	1353	11/06/2014	1.13	01/07/2010	Lois	3.9	4	male	Lisa	Lisa	17:09	APKSB_VE	mother	1		wild
36	2018	03/07/2017	12.00	01/04/2012	Cinnamon	5.3	5.5	female	Cissy	Cissy	10:58	APLO_LV	mother	0	no	wild
37	2569	27/01/2019	12.20	01/08/2012	Frankie	6.5	6.5	male	Friska	Friska	11:14	APLO_VE	mother	1	no	wild
38	1784	09/02/2017	12.17	01/11/2014	Eden	2.3	2.5	female	Ellie	Ellie	16:42	APLO_LV	mother	0	yes	wild
39	2113	07/09/2017	10.90	01/09/2014	Amor	3.0	3	male	Alice	Alice	17:28	APLS_FR	mother	1	yes	wild
40	755	16/02/2011	10.00	01/07/2010	Lois	0.6	0.5	male	Lisa	Lisa	14:46	APSB_LV	mother	0	no	wild
41	1314	03/04/2014	12.18	01/08/2012	Frankie	1.7	1.5	male	Friska	Friska	14:53	APSB_VE	mother	1	no	wild
42	1063	17/07/2013	11.40	01/07/2010	Lois	3.0	3	male	Lisa	Lisa	11:54	ASDK_VE	mother	4	no	wild
43	1063	17/07/2013	11.40	01/07/2010	Lois	3.0	3	male	Lisa	Lisa	11:54	ASDK_VE	mother	4		wild
44	1063	17/07/2013	11.40	01/07/2010	Lois	3.0	3	male	Lisa	Lisa	11:55	ASDK_VE	mother	4	yes	wild
45	1063	17/07/2013	11.40	01/07/2010	Lois	3.0	3	male	Lisa	Lisa	12:12	ASDK_VE	mother	4	no	wild
46	1742	29/01/2017	11.47	01/07/2010	Lois	6.6	6.5	male	Lisa	Lisa	11:39	ASDK_VE	mother	4		wild
47	1742	29/01/2017	11.47	01/07/2010	Lois	6.6	6.5	male	Lisa	Lisa	11:53	ASDK_VE	mother	4	yes	wild
48	1742	29/01/2017	11.47	01/07/2010	Lois	6.6	6.5	male	Lisa	Lisa	12:01	ASDK_VE	mother	4	yes	wild
49	1754	01/02/2017	11.70	01/07/2010	Lois	6.6	6.5	male	Lisa	Lisa	14:33	ASDK_VE	mother	4	yes	wild
50	1754	01/02/2017	11.70	01/07/2010	Lois	6.6	6.5	male	Lisa	Lisa	14:40	ASDK_VE	mother	4	yes	wild
51	2216	18/01/2018	0.13	01/11/2014	Eden	3.2	3	female	Ellie	Ellie	13:18	ASDK_VE	mother	4	yes	wild
52	2505	29/10/2018	9.80	01/07/2010	Lois	8.3	8.5	male	Lisa	Lisa	07:16	ASDK_VE	mother	4	no	wild
53	1005	10/06/2013	9.53	01/07/2010	Lois	2.9	3	male	Lisa	Lisa	14:27	ASK_FR	mother	3		wild
54	739	09/02/2011	11.00	01/07/2010	Lois	0.6	0.5	male	Lisa	Lisa	13:18	ASK_LV	mother	0	no	wild
55	1081	24/08/2013	11.50	01/08/2012	Frankie	1.1	1	male	Friska	Friska	11:43	ASK_LV	mother	0	yes	wild
56	1081	24/08/2013	11.50	01/08/2012	Frankie	1.1	1	male	Friska	Friska	17:20	ASK_LV	mother	0	yes	wild
57	1148	29/10/2013	4.10	01/04/2012	Cinnamon	1.6	1.5	female	Cissy	Cissy	14:23	ASK_LV	mother	0	yes	wild
58	1367	01/09/2014	10.20	01/04/2012	Cinnamon	2.4	2.5	female	Cissy	Cissy	16:14	ASK_LV	mother	0		wild
59	1428	04/02/2015	12.02	01/11/2014	Eden	0.3	0.5	female	Ellie	Ellie	17:05	ASK_LV	mother	0	no	wild
60	1428	04/02/2015	12.02	01/11/2014	Eden	0.3	0.5	female	Ellie	Ellie	17:07	ASK_LV	mother	0	no	wild
61	735	08/02/2011	10.70	01/07/2010	Lois	0.6	0.5	male	Lisa	Lisa	13:12	ASK_VE	mother	1		wild
62	739	09/02/2011	11.00	01/07/2010	Lois	0.6	0.5	male	Lisa	Lisa	13:24	ASK_VE	mother	1		wild
63	766	12/02/2011	13.00	01/01/2005	Fredy	6.1	6	male	Friska	Friska	10:35	ASK_VE	mother	1	no	wild
64	750	14/02/2011	11.63	01/07/2010	Lois	0.6	0.5	male	Lisa	Lisa	10:55	ASK_VE	mother	1	no	wild
65	1024	17/06/2013	4.80	01/08/2012	Frankie	0.9	1	male	Friska	Friska	16:22	ASK_VE	mother	1		wild
66	1026	18/06/2013	11.23	01/08/2012	Frankie	0.9	1	male	Friska	Friska	16:48	ASK_VE	mother	1	no	wild
67	1029	19/06/2013	11.25	01/08/2012	Frankie	0.9	1	male	Friska	Friska	12:41	ASK_VE	mother	1	yes	wild
68	1034	21/06/2013	12.17	01/08/2012	Frankie	0.9	1	male	Friska	Friska	15:28	ASK_VE	mother	1	yes	wild
69	1081	24/08/2013	11.50	01/01/2005	Fredy	8.6	8.5	male	Friska	Friska	17:39	ASK_VE	mother	1	yes	wild
70	1242	29/01/2014	12.13	01/04/2013	Simba	0.8	1	male	Sarabi	Sarabi	16:13	ASK_VE	mother	1	yes	wild
71	1242	29/01/2014	12.13	01/04/2013	Simba	0.8	1	male	Sarabi	Sarabi	16:14	ASK_VE	mother	1	yes	wild
72	1221	04/02/2014	11.97	01/04/2013	Simba	0.8	1	male	Sarabi	Sarabi	17:30	ASK_VE	mother	1	no	wild
73	1302	24/03/2014	11.80	01/04/2013	Rendang	1.0	1	male	Raffi	Raffi	16:11	ASK_VE	mother	1	yes	wild
74	1326	04/05/2014	8.00	01/07/2010	Lois	3.8	4	male	Lisa	Lisa	12:39	ASK_VE	mother	1	yes	wild
