ID	FN	Date	FollowHours	DOB	Beggar	ExactAge	AgeClass	Sex	Mother	Target	Time	Species_Item_Simple	RelationtoB	TargetRelation	ProcessingSteps_Complexity	PopFreq_Rarity	Success
1	2013	01/07/2017	11.72	01/04/2012	Cinnamon	5.3	5.5	female	Cissy	Cissy	11:57	AAB_FR	mother	mother	1	0.001498066	no
2	2013	01/07/2017	11.72	01/04/2012	Cinnamon	5.3	5.5	female	Cissy	Cissy	11:58	AAB_FR	mother	mother	1	0.001498066	
3	2294	12/03/2018	11.83	01/08/2012	Frankie	5.6	5.5	male	Friska	Friska	15:47	AAB_FR	mother	mother	1	0.001498066	no
4	1038	23/06/2013	12.13	01/08/2012	Frankie	0.9	1	male	Friska	Friska	09:04	ADDG_LV	mother	mother	0	0.000341396	yes
5	1038	23/06/2013	12.13	01/08/2012	Frankie	0.9	1	male	Friska	Friska	09:05	ADDG_LV	mother	mother	0	0.000341396	yes
6	2302	15/03/2018	10.55	01/08/2012	Frankie	5.6	5.5	male	Friska	Friska	15:27	ADDG_LV	mother	mother	0	0.000341396	yes
7	993	04/06/2013	10.75	01/07/2010	Lois	2.9	3	male	Lisa	Lisa	11:18	AJK_VE	mother	mother	4	0.000244582	
8	1334	09/05/2014	11.47	01/04/2013	Rendang	1.1	1	male	Raffi	Raffi	16:47	AKAR_LV	mother	mother	0	0.002338818	no
9	1377	22/09/2014	10.77	01/08/2012	Frankie	2.1	2	male	Friska	Friska	16:32	AKAR_LV	mother	mother	0	0.002338818	
10	1383	14/10/2014	11.03	01/10/2012	Dalia	2.0	2	female	Dodi	Dodi	10:03	AKAR_LV	mother	mother	0	0.002338818	no
11	1384	14/10/2014	11.03	01/10/2012	Dalia	2.0	2	female	Dodi	Dodi	10:01	AKAR_LV	mother	mother	0	0.002338818	no
12	1385	15/10/2014	7.10	01/10/2012	Dalia	2.0	2	female	Dodi	Dodi	12:43	AKAR_LV	mother	mother	0	0.002338818	yes
13	2103	03/09/2017	11.98	01/11/2014	Eden	2.8	3	female	Ellie	Ellie	13:53	AKAR_LV	mother	mother	0	0.002338818	
14	2113	07/09/2017	10.90	01/09/2014	Amor	3.0	3	male	Alice	Alice	14:06	AKAR_VE	mother	mother	4	0.000779606	
15	1076	21/08/2013	11.03	01/08/2012	Frankie	1.1	1	male	Friska	Friska	09:05	AKAR_VE	mother	mother	4	0.000779606	yes
16	1369	02/09/2014	12.20	01/04/2012	Cinnamon	2.4	2.5	female	Cissy	Cissy	14:48	AKAR_NA	mother	mother		0.000443305	
17	2228	02/02/2018	11.27	01/08/2012	Frankie	5.5	5.5	male	Friska	Friska	13:21	AKAR_NA	mother	mother		0.000443305	no
18	1267	26/02/2014	11.40	01/01/2005	Fredy	9.2	9	male	Friska	Friska	14:52	AKAR_VE	mother	mother	4	0.000779606	no
19	2308	18/03/2018	10.62	01/08/2012	Frankie	5.6	5.5	male	Friska	Friska	14:37	AKAR_VE	mother	mother	4	0.000779606	no
20	735	08/02/2011	10.70	01/07/2010	Lois	0.6	0.5	male	Lisa	Lisa	12:14	AKAR_LV	mother	mother	0	0.002338818	
21	1438	09/02/2015	11.33	01/11/2014	Eden	0.3	0.5	female	Ellie	Ellie	15:16	AKAR_LV	mother	mother	0	0.002338818	no
22	2388	03/06/2018	5.27	01/07/2010	Lois	7.9	8	male	Lisa	Lisa	10:40	AKKT_LV	mother	mother	1	0.000173246	yes
